BatchID,ProductID,BatchCode,ProductieDatum,Vervaldatum
1,417,BCH202504121,2025-04-11,2025-04-12
2,2900,BCH202504122,2025-04-11,2025-04-12
3,2440,BCH202504123,2025-04-11,2025-04-12
4,3136,BCH202504124,2025-04-11,2025-04-12
5,3180,BCH202504125,2025-04-11,2025-04-12
6,885,BCH202504126,2025-04-11,2025-04-12
7,2625,BCH202504127,2025-04-11,2025-04-12
8,2476,BCH202504128,2025-04-11,2025-04-12
9,4629,BCH202504129,2025-04-11,2025-04-12
10,3345,BCH2025041210,2025-04-11,2025-04-12
11,1990,BCH2025041211,2025-04-11,2025-04-12
12,4817,BCH2025041212,2025-04-11,2025-04-12
13,1439,BCH2025041213,2025-04-11,2025-04-12
14,2564,BCH2025041214,2025-04-11,2025-04-12
15,3411,BCH2025041215,2025-04-11,2025-04-12
16,4469,BCH2025041216,2025-04-11,2025-04-12
17,2837,BCH2025041217,2025-04-11,2025-04-12
18,1577,BCH2025041218,2025-04-11,2025-04-12
19,3947,BCH2025041219,2025-04-11,2025-04-12
20,4231,BCH2025041220,2025-04-11,2025-04-12
21,2922,BCH2025041221,2025-04-11,2025-04-12
22,358,BCH2025041222,2025-04-11,2025-04-12
23,2353,BCH2025041223,2025-04-11,2025-04-12
24,4774,BCH2025041224,2025-04-11,2025-04-12
25,4522,BCH2025041225,2025-04-11,2025-04-12
26,478,BCH2025041226,2025-04-11,2025-04-12
27,2129,BCH2025041227,2025-04-11,2025-04-12
28,1999,BCH2025041228,2025-04-11,2025-04-12
29,1105,BCH2025041229,2025-04-11,2025-04-12
30,3747,BCH2025041230,2025-04-11,2025-04-12
31,4621,BCH2025041231,2025-04-11,2025-04-12
32,4655,BCH2025041232,2025-04-11,2025-04-12
33,883,BCH2025041233,2025-04-11,2025-04-12
34,2817,BCH2025041234,2025-04-11,2025-04-12
35,4538,BCH2025041235,2025-04-11,2025-04-12
36,4976,BCH2025041236,2025-04-11,2025-04-12
37,423,BCH2025041237,2025-04-11,2025-04-12
38,2289,BCH2025041238,2025-04-11,2025-04-12
39,549,BCH2025041239,2025-04-11,2025-04-12
40,3328,BCH2025041240,2025-04-11,2025-04-12
41,905,BCH2025041241,2025-04-11,2025-04-12
42,3008,BCH2025041242,2025-04-11,2025-04-12
43,3064,BCH2025041243,2025-04-11,2025-04-12
44,3063,BCH2025041244,2025-04-11,2025-04-12
45,118,BCH2025041245,2025-04-11,2025-04-12
46,1929,BCH2025041246,2025-04-11,2025-04-12
47,2270,BCH2025041247,2025-04-11,2025-04-12
48,281,BCH2025041248,2025-04-11,2025-04-12
49,4725,BCH2025041249,2025-04-11,2025-04-12
50,4105,BCH2025041250,2025-04-11,2025-04-12
51,3551,BCH2025041251,2025-04-11,2025-04-12
52,2191,BCH2025041252,2025-04-11,2025-04-12
53,2905,BCH2025041253,2025-04-11,2025-04-12
54,203,BCH2025041254,2025-04-11,2025-04-12
55,4664,BCH2025041255,2025-04-11,2025-04-12
56,3749,BCH2025041256,2025-04-11,2025-04-12
57,2642,BCH2025041257,2025-04-11,2025-04-12
58,1309,BCH2025041258,2025-04-11,2025-04-12
59,2757,BCH2025041259,2025-04-11,2025-04-12
60,4206,BCH2025041260,2025-04-11,2025-04-12
61,2208,BCH2025041261,2025-04-11,2025-04-12
62,4230,BCH2025041262,2025-04-11,2025-04-12
63,4358,BCH2025041263,2025-04-11,2025-04-12
64,2659,BCH2025041264,2025-04-11,2025-04-12
65,2042,BCH2025041265,2025-04-11,2025-04-12
66,3717,BCH2025041266,2025-04-11,2025-04-12
67,1940,BCH2025041267,2025-04-11,2025-04-12
68,3500,BCH2025041268,2025-04-11,2025-04-12
69,638,BCH2025041269,2025-04-11,2025-04-12
70,3044,BCH2025041270,2025-04-11,2025-04-12
71,962,BCH2025041271,2025-04-11,2025-04-12
72,1147,BCH2025041272,2025-04-11,2025-04-12
73,3797,BCH2025041273,2025-04-11,2025-04-12
74,182,BCH2025041274,2025-04-11,2025-04-12
75,2940,BCH2025041275,2025-04-11,2025-04-12
76,4182,BCH2025041276,2025-04-11,2025-04-12
77,1609,BCH2025041277,2025-04-11,2025-04-12
78,660,BCH2025041278,2025-04-11,2025-04-12
79,3056,BCH2025041279,2025-04-11,2025-04-12
80,1998,BCH2025041280,2025-04-11,2025-04-12
81,1214,BCH2025041281,2025-04-11,2025-04-12
82,4919,BCH2025041282,2025-04-11,2025-04-12
83,2803,BCH2025041283,2025-04-11,2025-04-12
84,71,BCH2025041284,2025-04-11,2025-04-12
85,1622,BCH2025041285,2025-04-11,2025-04-12
86,1182,BCH2025041286,2025-04-11,2025-04-12
87,3393,BCH2025041287,2025-04-11,2025-04-12
88,2707,BCH2025041288,2025-04-11,2025-04-12
89,4914,BCH2025041289,2025-04-11,2025-04-12
90,4408,BCH2025041290,2025-04-11,2025-04-12
91,1597,BCH2025041291,2025-04-11,2025-04-12
92,4465,BCH2025041292,2025-04-11,2025-04-12
93,3540,BCH2025041293,2025-04-11,2025-04-12
94,1562,BCH2025041294,2025-04-11,2025-04-12
95,1919,BCH2025041295,2025-04-11,2025-04-12
96,1489,BCH2025041296,2025-04-11,2025-04-12
97,3077,BCH2025041297,2025-04-11,2025-04-12
98,3566,BCH2025041298,2025-04-11,2025-04-12
99,3582,BCH2025041299,2025-04-11,2025-04-12
100,2911,BCH20250412100,2025-04-11,2025-04-12
101,2555,BCH20250412101,2025-04-11,2025-04-12
102,4049,BCH20250412102,2025-04-11,2025-04-12
103,2559,BCH20250412103,2025-04-11,2025-04-12
104,4775,BCH20250412104,2025-04-11,2025-04-12
105,4706,BCH20250412105,2025-04-11,2025-04-12
106,556,BCH20250412106,2025-04-11,2025-04-12
107,693,BCH20250412107,2025-04-11,2025-04-12
108,2248,BCH20250412108,2025-04-11,2025-04-12
109,19,BCH20250412109,2025-04-11,2025-04-12
110,2847,BCH20250412110,2025-04-11,2025-04-12
111,2378,BCH20250412111,2025-04-11,2025-04-12
112,4818,BCH20250412112,2025-04-11,2025-04-12
113,3856,BCH20250412113,2025-04-11,2025-04-12
114,3166,BCH20250412114,2025-04-11,2025-04-12
115,503,BCH20250412115,2025-04-11,2025-04-12
116,4109,BCH20250412116,2025-04-11,2025-04-12
117,4212,BCH20250412117,2025-04-11,2025-04-12
118,4389,BCH20250412118,2025-04-11,2025-04-12
119,72,BCH20250412119,2025-04-11,2025-04-12
120,2433,BCH20250412120,2025-04-11,2025-04-12
121,729,BCH20250412121,2025-04-11,2025-04-12
122,399,BCH20250412122,2025-04-11,2025-04-12
123,883,BCH20250412123,2025-04-11,2025-04-12
124,21,BCH20250412124,2025-04-11,2025-04-12
125,3325,BCH20250412125,2025-04-11,2025-04-12
126,1539,BCH20250412126,2025-04-11,2025-04-12
127,4481,BCH20250412127,2025-04-11,2025-04-12
128,3040,BCH20250412128,2025-04-11,2025-04-12
129,2294,BCH20250412129,2025-04-11,2025-04-12
130,4362,BCH20250412130,2025-04-11,2025-04-12
131,3493,BCH20250412131,2025-04-11,2025-04-12
132,4952,BCH20250412132,2025-04-11,2025-04-12
133,759,BCH20250412133,2025-04-11,2025-04-12
134,560,BCH20250412134,2025-04-11,2025-04-12
135,4700,BCH20250412135,2025-04-11,2025-04-12
136,404,BCH20250412136,2025-04-11,2025-04-12
137,1964,BCH20250412137,2025-04-11,2025-04-12
138,68,BCH20250412138,2025-04-11,2025-04-12
139,3873,BCH20250412139,2025-04-11,2025-04-12
140,1206,BCH20250412140,2025-04-11,2025-04-12
141,1663,BCH20250412141,2025-04-11,2025-04-12
142,4408,BCH20250412142,2025-04-11,2025-04-12
143,4614,BCH20250412143,2025-04-11,2025-04-12
144,617,BCH20250412144,2025-04-11,2025-04-12
145,2913,BCH20250412145,2025-04-11,2025-04-12
146,909,BCH20250412146,2025-04-11,2025-04-12
147,3733,BCH20250412147,2025-04-11,2025-04-12
148,4024,BCH20250412148,2025-04-11,2025-04-12
149,1452,BCH20250412149,2025-04-11,2025-04-12
150,3864,BCH20250412150,2025-04-11,2025-04-12
151,391,BCH20250412151,2025-04-11,2025-04-12
152,3198,BCH20250412152,2025-04-11,2025-04-12
153,2152,BCH20250412153,2025-04-11,2025-04-12
154,4158,BCH20250412154,2025-04-11,2025-04-12
155,3061,BCH20250412155,2025-04-11,2025-04-12
156,607,BCH20250412156,2025-04-11,2025-04-12
157,1373,BCH20250412157,2025-04-11,2025-04-12
158,3952,BCH20250412158,2025-04-11,2025-04-12
159,1801,BCH20250412159,2025-04-11,2025-04-12
160,3257,BCH20250412160,2025-04-11,2025-04-12
161,3319,BCH20250412161,2025-04-11,2025-04-12
162,841,BCH20250412162,2025-04-11,2025-04-12
163,191,BCH20250412163,2025-04-11,2025-04-12
164,192,BCH20250412164,2025-04-11,2025-04-12
165,2731,BCH20250412165,2025-04-11,2025-04-12
166,906,BCH20250412166,2025-04-11,2025-04-12
167,4865,BCH20250412167,2025-04-11,2025-04-12
168,398,BCH20250412168,2025-04-11,2025-04-12
169,4411,BCH20250412169,2025-04-11,2025-04-12
170,3837,BCH20250412170,2025-04-11,2025-04-12
171,1124,BCH20250412171,2025-04-11,2025-04-12
172,1684,BCH20250412172,2025-04-11,2025-04-12
173,556,BCH20250412173,2025-04-11,2025-04-12
174,3936,BCH20250412174,2025-04-11,2025-04-12
175,4234,BCH20250412175,2025-04-11,2025-04-12
176,4101,BCH20250412176,2025-04-11,2025-04-12
177,2343,BCH20250412177,2025-04-11,2025-04-12
178,1788,BCH20250412178,2025-04-11,2025-04-12
179,4617,BCH20250412179,2025-04-11,2025-04-12
180,4086,BCH20250412180,2025-04-11,2025-04-12
181,3613,BCH20250412181,2025-04-11,2025-04-12
182,2217,BCH20250412182,2025-04-11,2025-04-12
183,4649,BCH20250412183,2025-04-11,2025-04-12
184,3082,BCH20250412184,2025-04-11,2025-04-12
185,2314,BCH20250412185,2025-04-11,2025-04-12
186,1950,BCH20250412186,2025-04-11,2025-04-12
187,24,BCH20250412187,2025-04-11,2025-04-12
188,1945,BCH20250412188,2025-04-11,2025-04-12
189,2360,BCH20250412189,2025-04-11,2025-04-12
190,1039,BCH20250412190,2025-04-11,2025-04-12
191,3409,BCH20250412191,2025-04-11,2025-04-12
192,4699,BCH20250412192,2025-04-11,2025-04-12
193,864,BCH20250412193,2025-04-11,2025-04-12
194,2462,BCH20250412194,2025-04-11,2025-04-12
195,4444,BCH20250412195,2025-04-11,2025-04-12
196,1070,BCH20250412196,2025-04-11,2025-04-12
197,2555,BCH20250412197,2025-04-11,2025-04-12
198,380,BCH20250412198,2025-04-11,2025-04-12
199,586,BCH20250412199,2025-04-11,2025-04-12
200,3397,BCH20250412200,2025-04-11,2025-04-12
201,4568,BCH20250412201,2025-04-11,2025-04-12
202,3606,BCH20250412202,2025-04-11,2025-04-12
203,137,BCH20250412203,2025-04-11,2025-04-12
204,2392,BCH20250412204,2025-04-11,2025-04-12
205,2177,BCH20250412205,2025-04-11,2025-04-12
206,730,BCH20250412206,2025-04-11,2025-04-12
207,1579,BCH20250412207,2025-04-11,2025-04-12
208,1104,BCH20250412208,2025-04-11,2025-04-12
209,4629,BCH20250412209,2025-04-11,2025-04-12
210,3593,BCH20250412210,2025-04-11,2025-04-12
211,1623,BCH20250412211,2025-04-11,2025-04-12
212,4559,BCH20250412212,2025-04-11,2025-04-12
213,2017,BCH20250412213,2025-04-11,2025-04-12
214,3784,BCH20250412214,2025-04-11,2025-04-12
215,3963,BCH20250412215,2025-04-11,2025-04-12
