FillingID,F_DatumTijdStart,F_DatumTijdEind,F_Machine,Capaciteit
1,2025-04-12 18:59:53.294221,2025-04-12 20:04:53.294221,Filler B,388.73
2,2025-04-12 18:59:53.103523,2025-04-12 19:32:53.103523,Filler C,325.61
3,2025-04-12 18:59:53.039724,2025-04-12 19:59:53.039724,Filler A,563.37
4,2025-04-12 18:59:53.603933,2025-04-12 20:51:53.603933,Filler C,473.83
5,2025-04-12 18:59:53.580142,2025-04-12 19:54:53.580142,Filler B,547.88
6,2025-04-12 18:59:53.289312,2025-04-12 21:30:53.289312,Filler C,675.69
7,2025-04-12 18:59:53.403002,2025-04-12 21:35:53.403002,Filler B,487.13
8,2025-04-12 18:59:53.600527,2025-04-12 21:08:53.600527,Filler C,434.4
9,2025-04-12 18:59:53.611581,2025-04-12 21:45:53.611581,Filler B,671.0
10,2025-04-12 18:59:53.978015,2025-04-12 20:10:53.978015,Filler A,567.67
11,2025-04-12 18:59:53.208140,2025-04-12 21:28:53.208140,Filler B,303.7
12,2025-04-12 18:59:53.522351,2025-04-12 21:04:53.522351,Filler A,510.29
13,2025-04-12 18:59:53.273102,2025-04-12 20:33:53.273102,Filler A,360.04
14,2025-04-12 18:59:53.271569,2025-04-12 21:14:53.271569,Filler A,668.63
15,2025-04-12 18:59:53.460279,2025-04-12 20:07:53.460279,Filler B,606.39
16,2025-04-12 18:59:53.994250,2025-04-12 20:36:53.994250,Filler B,356.61
17,2025-04-12 18:59:53.409255,2025-04-12 20:07:53.409255,Filler B,735.79
18,2025-04-12 18:59:53.281742,2025-04-12 20:26:53.281742,Filler A,453.8
19,2025-04-12 18:59:53.443270,2025-04-12 20:57:53.443270,Filler A,539.57
20,2025-04-12 18:59:53.176724,2025-04-12 20:43:53.176724,Filler A,370.07
21,2025-04-12 18:59:53.886699,2025-04-12 19:54:53.886699,Filler B,701.77
22,2025-04-12 18:59:53.155009,2025-04-12 21:21:53.155009,Filler C,409.49
23,2025-04-12 18:59:53.106184,2025-04-12 21:37:53.106184,Filler A,374.1
24,2025-04-12 18:59:53.779174,2025-04-12 21:03:53.779174,Filler C,561.89
25,2025-04-12 18:59:53.562403,2025-04-12 20:37:53.562403,Filler B,359.34
26,2025-04-12 18:59:53.254786,2025-04-12 20:04:53.254786,Filler B,612.84
27,2025-04-12 18:59:53.243417,2025-04-12 21:36:53.243417,Filler B,424.09
28,2025-04-12 18:59:53.134606,2025-04-12 21:55:53.134606,Filler B,310.38
29,2025-04-12 18:59:53.308224,2025-04-12 19:53:53.308224,Filler C,346.37
30,2025-04-12 18:59:53.809731,2025-04-12 20:58:53.809731,Filler A,471.55
31,2025-04-12 18:59:53.293438,2025-04-12 20:37:53.293438,Filler B,535.14
32,2025-04-12 18:59:53.653180,2025-04-12 20:13:53.653180,Filler A,303.16
33,2025-04-12 18:59:53.128236,2025-04-12 20:51:53.128236,Filler C,495.8
34,2025-04-12 18:59:53.932335,2025-04-12 20:38:53.932335,Filler C,420.16
35,2025-04-12 18:59:53.840820,2025-04-12 21:36:53.840820,Filler A,526.5
36,2025-04-12 18:59:53.173142,2025-04-12 21:34:53.173142,Filler A,746.3
37,2025-04-12 18:59:53.945382,2025-04-12 20:16:53.945382,Filler C,424.25
38,2025-04-12 18:59:53.132349,2025-04-12 21:27:53.132349,Filler C,563.35
39,2025-04-12 18:59:53.675713,2025-04-12 21:24:53.675713,Filler C,511.01
40,2025-04-12 18:59:53.391815,2025-04-12 20:39:53.391815,Filler B,601.19
41,2025-04-12 18:59:53.542351,2025-04-12 20:37:53.542351,Filler C,489.39
42,2025-04-12 18:59:53.848101,2025-04-12 19:41:53.848101,Filler C,715.46
43,2025-04-12 18:59:53.121945,2025-04-12 20:26:53.121945,Filler A,438.39
44,2025-04-12 18:59:53.674182,2025-04-12 19:32:53.674182,Filler A,494.63
45,2025-04-12 18:59:53.362262,2025-04-12 19:56:53.362262,Filler C,409.31
46,2025-04-12 18:59:53.213157,2025-04-12 21:02:53.213157,Filler C,377.91
47,2025-04-12 18:59:53.021188,2025-04-12 20:02:53.021188,Filler B,623.22
48,2025-04-12 18:59:53.254167,2025-04-12 21:43:53.254167,Filler C,722.34
49,2025-04-12 18:59:53.439497,2025-04-12 21:11:53.439497,Filler C,365.17
50,2025-04-12 18:59:53.811802,2025-04-12 20:44:53.811802,Filler C,564.38
51,2025-04-12 18:59:53.241249,2025-04-12 19:45:53.241249,Filler B,582.3
52,2025-04-12 18:59:53.185018,2025-04-12 20:30:53.185018,Filler C,444.83
53,2025-04-12 18:59:53.563477,2025-04-12 21:09:53.563477,Filler A,621.77
54,2025-04-12 18:59:53.802151,2025-04-12 20:30:53.802151,Filler A,700.49
55,2025-04-12 18:59:53.889073,2025-04-12 20:30:53.889073,Filler A,544.25
56,2025-04-12 18:59:53.779212,2025-04-12 21:12:53.779212,Filler B,318.8
57,2025-04-12 18:59:53.056915,2025-04-12 20:02:53.056915,Filler B,693.46
58,2025-04-12 18:59:53.491375,2025-04-12 21:08:53.491375,Filler C,638.07
59,2025-04-12 18:59:53.170350,2025-04-12 21:25:53.170350,Filler B,616.86
60,2025-04-12 18:59:53.237214,2025-04-12 19:51:53.237214,Filler B,732.63
61,2025-04-12 18:59:53.212484,2025-04-12 20:41:53.212484,Filler B,335.98
62,2025-04-12 18:59:53.081186,2025-04-12 21:30:53.081186,Filler A,308.01
63,2025-04-12 18:59:53.985400,2025-04-12 21:13:53.985400,Filler C,514.92
64,2025-04-12 18:59:53.487647,2025-04-12 20:52:53.487647,Filler C,775.07
65,2025-04-12 18:59:53.711248,2025-04-12 21:33:53.711248,Filler C,337.65
66,2025-04-12 18:59:53.850647,2025-04-12 19:55:53.850647,Filler A,577.67
67,2025-04-12 18:59:53.080515,2025-04-12 19:38:53.080515,Filler B,454.68
68,2025-04-12 18:59:53.438509,2025-04-12 21:21:53.438509,Filler C,611.69
69,2025-04-12 18:59:53.846024,2025-04-12 21:00:53.846024,Filler C,547.52
70,2025-04-12 18:59:53.903513,2025-04-12 19:50:53.903513,Filler C,774.39
71,2025-04-12 18:59:53.053979,2025-04-12 19:45:53.053979,Filler A,630.79
72,2025-04-12 18:59:53.914068,2025-04-12 20:46:53.914068,Filler A,768.03
73,2025-04-12 18:59:53.737004,2025-04-12 20:20:53.737004,Filler A,732.43
74,2025-04-12 18:59:53.099504,2025-04-12 21:16:53.099504,Filler A,540.25
75,2025-04-12 18:59:53.970233,2025-04-12 21:48:53.970233,Filler B,606.05
76,2025-04-12 18:59:53.526697,2025-04-12 20:07:53.526697,Filler C,480.88
77,2025-04-12 18:59:53.844969,2025-04-12 21:28:53.844969,Filler C,500.12
78,2025-04-12 18:59:53.268972,2025-04-12 19:54:53.268972,Filler C,491.52
79,2025-04-12 18:59:53.753731,2025-04-12 20:35:53.753731,Filler C,788.21
80,2025-04-12 18:59:53.365359,2025-04-12 19:53:53.365359,Filler C,763.16
81,2025-04-12 18:59:53.112606,2025-04-12 21:43:53.112606,Filler A,484.91
82,2025-04-12 18:59:53.721477,2025-04-12 20:58:53.721477,Filler B,548.28
83,2025-04-12 18:59:53.786686,2025-04-12 21:07:53.786686,Filler A,493.82
84,2025-04-12 18:59:53.043401,2025-04-12 20:31:53.043401,Filler C,385.51
85,2025-04-12 18:59:53.691851,2025-04-12 21:04:53.691851,Filler B,623.37
86,2025-04-12 18:59:53.950942,2025-04-12 20:48:53.950942,Filler A,603.79
87,2025-04-12 18:59:53.527919,2025-04-12 20:47:53.527919,Filler B,766.74
88,2025-04-12 18:59:53.098547,2025-04-12 21:25:53.098547,Filler B,305.52
89,2025-04-12 18:59:53.151691,2025-04-12 20:24:53.151691,Filler A,658.9
90,2025-04-12 18:59:53.724379,2025-04-12 19:38:53.724379,Filler C,736.15
91,2025-04-12 18:59:53.803561,2025-04-12 20:06:53.803561,Filler A,789.74
92,2025-04-12 18:59:53.251104,2025-04-12 20:24:53.251104,Filler A,373.53
