GrindingID,G_DatumTijdStart,G_DatumTijdEind,G_Machine,Capaciteit
1,2025-04-12 18:59:53.236282,2025-04-12 20:42:53.236282,Grinder A,513.91
2,2025-04-12 18:59:53.926995,2025-04-12 21:49:53.926995,Grinder C,561.17
3,2025-04-12 18:59:53.406827,2025-04-12 21:12:53.406827,Grinder A,307.93
4,2025-04-12 18:59:53.968605,2025-04-12 20:45:53.968605,Grinder B,708.4
5,2025-04-12 18:59:53.581932,2025-04-12 19:57:53.581932,Grinder C,714.33
6,2025-04-12 18:59:53.339635,2025-04-12 20:02:53.339635,Grinder B,443.31
7,2025-04-12 18:59:53.614302,2025-04-12 19:33:53.614302,Grinder B,642.78
8,2025-04-12 18:59:53.788902,2025-04-12 21:24:53.788902,Grinder A,568.17
9,2025-04-12 18:59:53.720527,2025-04-12 21:35:53.720527,Grinder C,763.48
10,2025-04-12 18:59:53.883472,2025-04-12 20:57:53.883472,Grinder A,494.99
11,2025-04-12 18:59:53.579572,2025-04-12 20:16:53.579572,Grinder A,517.92
12,2025-04-12 18:59:53.682655,2025-04-12 19:29:53.682655,Grinder A,558.43
13,2025-04-12 18:59:53.470222,2025-04-12 20:59:53.470222,Grinder A,382.42
14,2025-04-12 18:59:53.349291,2025-04-12 21:31:53.349291,Grinder B,420.87
15,2025-04-12 18:59:53.820123,2025-04-12 19:33:53.820123,Grinder A,567.32
16,2025-04-12 18:59:53.814575,2025-04-12 20:53:53.814575,Grinder C,453.88
17,2025-04-12 18:59:53.753058,2025-04-12 20:02:53.753058,Grinder C,457.48
18,2025-04-12 18:59:53.284068,2025-04-12 21:18:53.284068,Grinder A,372.95
19,2025-04-12 18:59:53.289585,2025-04-12 20:17:53.289585,Grinder B,676.81
20,2025-04-12 18:59:53.034261,2025-04-12 20:31:53.034261,Grinder B,310.79
21,2025-04-12 18:59:53.047368,2025-04-12 21:46:53.047368,Grinder B,410.27
22,2025-04-12 18:59:53.715516,2025-04-12 19:35:53.715516,Grinder C,688.71
23,2025-04-12 18:59:53.808898,2025-04-12 21:40:53.808898,Grinder A,426.47
24,2025-04-12 18:59:53.890893,2025-04-12 19:57:53.890893,Grinder A,310.75
25,2025-04-12 18:59:53.037191,2025-04-12 19:36:53.037191,Grinder B,743.03
26,2025-04-12 18:59:53.900078,2025-04-12 21:20:53.900078,Grinder C,475.65
27,2025-04-12 18:59:53.176219,2025-04-12 20:10:53.176219,Grinder C,329.47
28,2025-04-12 18:59:53.610895,2025-04-12 21:29:53.610895,Grinder C,706.36
29,2025-04-12 18:59:53.525749,2025-04-12 20:34:53.525749,Grinder C,446.89
30,2025-04-12 18:59:53.673846,2025-04-12 21:34:53.673846,Grinder B,622.82
31,2025-04-12 18:59:53.700325,2025-04-12 20:54:53.700325,Grinder B,588.27
32,2025-04-12 18:59:53.613939,2025-04-12 21:03:53.613939,Grinder B,590.54
33,2025-04-12 18:59:53.157555,2025-04-12 21:19:53.157555,Grinder A,332.04
34,2025-04-12 18:59:53.791882,2025-04-12 21:11:53.791882,Grinder C,638.93
35,2025-04-12 18:59:53.206843,2025-04-12 21:59:53.206843,Grinder C,712.47
36,2025-04-12 18:59:53.341055,2025-04-12 21:23:53.341055,Grinder A,544.37
37,2025-04-12 18:59:53.892007,2025-04-12 20:38:53.892007,Grinder B,301.82
38,2025-04-12 18:59:53.443393,2025-04-12 20:49:53.443393,Grinder A,728.55
39,2025-04-12 18:59:53.181160,2025-04-12 21:50:53.181160,Grinder A,733.26
40,2025-04-12 18:59:53.514538,2025-04-12 21:43:53.514538,Grinder C,517.59
41,2025-04-12 18:59:53.763512,2025-04-12 19:44:53.763512,Grinder A,362.59
42,2025-04-12 18:59:53.847849,2025-04-12 19:41:53.847849,Grinder B,598.72
43,2025-04-12 18:59:53.615925,2025-04-12 19:43:53.615925,Grinder C,541.7
44,2025-04-12 18:59:53.299976,2025-04-12 21:01:53.299976,Grinder B,690.18
45,2025-04-12 18:59:53.933983,2025-04-12 21:44:53.933983,Grinder A,526.35
46,2025-04-12 18:59:53.580423,2025-04-12 20:36:53.580423,Grinder B,622.09
47,2025-04-12 18:59:53.162771,2025-04-12 20:09:53.162771,Grinder C,330.78
48,2025-04-12 18:59:53.408991,2025-04-12 19:32:53.408991,Grinder C,414.12
49,2025-04-12 18:59:53.269243,2025-04-12 21:50:53.269243,Grinder C,742.53
50,2025-04-12 18:59:53.644284,2025-04-12 21:59:53.644284,Grinder C,663.85
51,2025-04-12 18:59:53.877577,2025-04-12 20:56:53.877577,Grinder A,327.64
52,2025-04-12 18:59:53.971760,2025-04-12 21:33:53.971760,Grinder B,606.18
53,2025-04-12 18:59:53.561877,2025-04-12 21:11:53.561877,Grinder B,577.26
54,2025-04-12 18:59:53.828081,2025-04-12 19:58:53.828081,Grinder C,400.27
55,2025-04-12 18:59:53.691888,2025-04-12 21:49:53.691888,Grinder C,632.19
56,2025-04-12 18:59:53.909925,2025-04-12 20:56:53.909925,Grinder A,471.26
57,2025-04-12 18:59:53.086391,2025-04-12 19:37:53.086391,Grinder A,718.77
58,2025-04-12 18:59:53.877592,2025-04-12 21:28:53.877592,Grinder B,355.54
59,2025-04-12 18:59:53.280619,2025-04-12 21:13:53.280619,Grinder B,531.29
60,2025-04-12 18:59:53.026054,2025-04-12 21:17:53.026054,Grinder A,772.66
61,2025-04-12 18:59:53.399058,2025-04-12 20:27:53.399058,Grinder A,708.8
62,2025-04-12 18:59:53.442848,2025-04-12 21:18:53.442848,Grinder A,626.13
63,2025-04-12 18:59:53.352759,2025-04-12 19:51:53.352759,Grinder C,400.29
64,2025-04-12 18:59:53.552462,2025-04-12 21:38:53.552462,Grinder C,554.57
65,2025-04-12 18:59:53.550941,2025-04-12 21:34:53.550941,Grinder A,501.11
66,2025-04-12 18:59:53.439610,2025-04-12 20:43:53.439610,Grinder C,536.39
67,2025-04-12 18:59:53.945004,2025-04-12 21:08:53.945004,Grinder C,474.67
68,2025-04-12 18:59:53.228803,2025-04-12 20:50:53.228803,Grinder A,783.18
69,2025-04-12 18:59:53.391235,2025-04-12 20:16:53.391235,Grinder B,549.24
70,2025-04-12 18:59:53.023593,2025-04-12 20:00:53.023593,Grinder C,381.05
71,2025-04-12 18:59:53.401241,2025-04-12 20:28:53.401241,Grinder C,544.61
72,2025-04-12 18:59:53.069219,2025-04-12 21:10:53.069219,Grinder C,764.2
73,2025-04-12 18:59:53.042841,2025-04-12 20:44:53.042841,Grinder A,654.81
74,2025-04-12 18:59:53.613100,2025-04-12 20:05:53.613100,Grinder C,635.12
75,2025-04-12 18:59:53.058922,2025-04-12 21:52:53.058922,Grinder B,603.18
76,2025-04-12 18:59:53.500716,2025-04-12 21:11:53.500716,Grinder A,496.46
77,2025-04-12 18:59:53.862376,2025-04-12 21:19:53.862376,Grinder A,651.67
78,2025-04-12 18:59:53.022074,2025-04-12 20:37:53.022074,Grinder A,451.19
79,2025-04-12 18:59:53.698872,2025-04-12 20:25:53.698872,Grinder C,415.5
80,2025-04-12 18:59:53.996182,2025-04-12 20:09:53.996182,Grinder B,360.79
81,2025-04-12 18:59:53.860382,2025-04-12 19:30:53.860382,Grinder C,390.26
82,2025-04-12 18:59:53.174270,2025-04-12 21:59:53.174270,Grinder B,494.45
83,2025-04-12 18:59:53.111224,2025-04-12 19:34:53.111224,Grinder C,695.15
84,2025-04-12 18:59:53.118041,2025-04-12 21:19:53.118041,Grinder A,330.65
85,2025-04-12 18:59:53.835407,2025-04-12 21:24:53.835407,Grinder B,392.83
86,2025-04-12 18:59:53.352362,2025-04-12 19:54:53.352362,Grinder B,387.19
87,2025-04-12 18:59:53.300751,2025-04-12 21:01:53.300751,Grinder C,426.44
88,2025-04-12 18:59:53.615041,2025-04-12 20:39:53.615041,Grinder C,756.76
89,2025-04-12 18:59:53.978666,2025-04-12 21:23:53.978666,Grinder C,739.95
90,2025-04-12 18:59:53.013816,2025-04-12 21:46:53.013816,Grinder C,499.37
91,2025-04-12 18:59:53.285370,2025-04-12 21:06:53.285370,Grinder A,709.46
92,2025-04-12 18:59:53.078811,2025-04-12 21:16:53.078811,Grinder A,579.72
93,2025-04-12 18:59:53.543898,2025-04-12 21:36:53.543898,Grinder C,572.08
94,2025-04-12 18:59:53.191772,2025-04-12 20:58:53.191772,Grinder C,500.09
95,2025-04-12 18:59:53.502671,2025-04-12 20:55:53.502671,Grinder B,488.08
96,2025-04-12 18:59:53.990701,2025-04-12 21:50:53.990701,Grinder A,768.25
97,2025-04-12 18:59:53.225317,2025-04-12 20:20:53.225317,Grinder A,737.04
98,2025-04-12 18:59:53.796733,2025-04-12 20:35:53.796733,Grinder B,412.01
99,2025-04-12 18:59:53.414024,2025-04-12 21:41:53.414024,Grinder A,767.48
100,2025-04-12 18:59:53.395740,2025-04-12 21:41:53.395740,Grinder C,371.43
101,2025-04-12 18:59:53.117032,2025-04-12 19:59:53.117032,Grinder C,493.9
102,2025-04-12 18:59:53.252998,2025-04-12 20:28:53.252998,Grinder B,718.13
103,2025-04-12 18:59:53.175190,2025-04-12 21:17:53.175190,Grinder B,432.34
104,2025-04-12 18:59:53.587550,2025-04-12 21:12:53.587550,Grinder C,570.82
105,2025-04-12 18:59:53.980871,2025-04-12 19:53:53.980871,Grinder B,600.17
106,2025-04-12 18:59:53.478220,2025-04-12 21:14:53.478220,Grinder A,336.4
107,2025-04-12 18:59:53.481287,2025-04-12 21:04:53.481287,Grinder B,477.08
108,2025-04-12 18:59:53.177199,2025-04-12 21:52:53.177199,Grinder C,393.94
109,2025-04-12 18:59:53.412523,2025-04-12 20:22:53.412523,Grinder B,557.89
110,2025-04-12 18:59:53.417745,2025-04-12 20:41:53.417745,Grinder B,457.07
111,2025-04-12 18:59:53.266038,2025-04-12 21:06:53.266038,Grinder B,553.95
112,2025-04-12 18:59:53.919596,2025-04-12 19:45:53.919596,Grinder A,763.52
113,2025-04-12 18:59:53.654905,2025-04-12 21:38:53.654905,Grinder B,636.87
114,2025-04-12 18:59:53.441337,2025-04-12 21:34:53.441337,Grinder A,673.0
115,2025-04-12 18:59:53.300619,2025-04-12 20:49:53.300619,Grinder A,505.52
116,2025-04-12 18:59:53.653703,2025-04-12 20:29:53.653703,Grinder C,527.57
117,2025-04-12 18:59:53.415988,2025-04-12 21:34:53.415988,Grinder B,512.3
118,2025-04-12 18:59:53.076947,2025-04-12 21:48:53.076947,Grinder A,564.55
119,2025-04-12 18:59:53.191606,2025-04-12 19:54:53.191606,Grinder A,386.41
120,2025-04-12 18:59:53.412529,2025-04-12 21:28:53.412529,Grinder A,475.37
121,2025-04-12 18:59:53.709657,2025-04-12 20:11:53.709657,Grinder C,404.84
122,2025-04-12 18:59:53.284057,2025-04-12 21:29:53.284057,Grinder B,357.35
123,2025-04-12 18:59:53.870392,2025-04-12 19:32:53.870392,Grinder B,697.46
124,2025-04-12 18:59:53.796402,2025-04-12 20:59:53.796402,Grinder C,654.46
125,2025-04-12 18:59:53.948081,2025-04-12 20:26:53.948081,Grinder B,750.98
126,2025-04-12 18:59:53.406317,2025-04-12 20:17:53.406317,Grinder B,674.95
127,2025-04-12 18:59:53.405272,2025-04-12 19:49:53.405272,Grinder C,332.99
128,2025-04-12 18:59:53.697196,2025-04-12 20:27:53.697196,Grinder C,693.45
129,2025-04-12 18:59:53.228845,2025-04-12 21:08:53.228845,Grinder A,490.3
130,2025-04-12 18:59:53.305934,2025-04-12 19:37:53.305934,Grinder B,473.38
131,2025-04-12 18:59:53.055742,2025-04-12 21:05:53.055742,Grinder A,512.78
132,2025-04-12 18:59:53.995453,2025-04-12 20:01:53.995453,Grinder A,434.05
133,2025-04-12 18:59:53.564332,2025-04-12 21:15:53.564332,Grinder C,492.44
134,2025-04-12 18:59:53.929228,2025-04-12 21:39:53.929228,Grinder A,677.26
135,2025-04-12 18:59:53.561629,2025-04-12 20:20:53.561629,Grinder B,628.22
136,2025-04-12 18:59:53.684639,2025-04-12 21:56:53.684639,Grinder B,744.68
137,2025-04-12 18:59:53.802034,2025-04-12 21:13:53.802034,Grinder A,766.03
138,2025-04-12 18:59:53.026789,2025-04-12 19:59:53.026789,Grinder A,523.06
139,2025-04-12 18:59:53.735617,2025-04-12 20:41:53.735617,Grinder B,691.79
140,2025-04-12 18:59:53.818500,2025-04-12 19:58:53.818500,Grinder A,568.7
141,2025-04-12 18:59:53.768694,2025-04-12 20:26:53.768694,Grinder B,312.09
142,2025-04-12 18:59:53.729934,2025-04-12 20:48:53.729934,Grinder C,551.75
143,2025-04-12 18:59:53.143054,2025-04-12 19:45:53.143054,Grinder C,580.22
144,2025-04-12 18:59:53.786618,2025-04-12 21:32:53.786618,Grinder C,783.9
145,2025-04-12 18:59:53.331555,2025-04-12 20:57:53.331555,Grinder B,342.12
146,2025-04-12 18:59:53.678700,2025-04-12 21:38:53.678700,Grinder C,578.86
147,2025-04-12 18:59:53.855508,2025-04-12 20:16:53.855508,Grinder A,339.86
148,2025-04-12 18:59:53.189833,2025-04-12 20:21:53.189833,Grinder C,715.64
149,2025-04-12 18:59:53.186382,2025-04-12 20:06:53.186382,Grinder B,564.32
150,2025-04-12 18:59:53.349740,2025-04-12 20:17:53.349740,Grinder A,704.65
151,2025-04-12 18:59:53.374460,2025-04-12 21:41:53.374460,Grinder C,619.34
152,2025-04-12 18:59:53.085284,2025-04-12 20:01:53.085284,Grinder C,340.93
153,2025-04-12 18:59:53.368748,2025-04-12 21:17:53.368748,Grinder C,704.0
154,2025-04-12 18:59:53.843448,2025-04-12 19:53:53.843448,Grinder C,791.88
155,2025-04-12 18:59:53.883255,2025-04-12 21:18:53.883255,Grinder B,478.6
156,2025-04-12 18:59:53.640633,2025-04-12 20:56:53.640633,Grinder A,406.71
157,2025-04-12 18:59:53.183770,2025-04-12 20:05:53.183770,Grinder B,635.95
158,2025-04-12 18:59:53.680451,2025-04-12 21:37:53.680451,Grinder B,531.41
159,2025-04-12 18:59:53.253906,2025-04-12 21:17:53.253906,Grinder C,445.23
160,2025-04-12 18:59:53.057910,2025-04-12 19:46:53.057910,Grinder C,390.8
161,2025-04-12 18:59:53.303939,2025-04-12 20:57:53.303939,Grinder A,542.03
162,2025-04-12 18:59:53.125738,2025-04-12 19:46:53.125738,Grinder B,318.77
163,2025-04-12 18:59:53.251371,2025-04-12 20:20:53.251371,Grinder C,577.21
164,2025-04-12 18:59:53.798323,2025-04-12 19:37:53.798323,Grinder A,576.31
165,2025-04-12 18:59:53.377979,2025-04-12 21:40:53.377979,Grinder B,476.84
166,2025-04-12 18:59:53.760554,2025-04-12 19:37:53.760554,Grinder A,353.08
167,2025-04-12 18:59:53.363107,2025-04-12 20:18:53.363107,Grinder B,574.91
168,2025-04-12 18:59:53.466946,2025-04-12 19:58:53.466946,Grinder C,405.23
169,2025-04-12 18:59:53.784944,2025-04-12 21:37:53.784944,Grinder B,646.97
170,2025-04-12 18:59:53.119857,2025-04-12 21:38:53.119857,Grinder B,514.84
171,2025-04-12 18:59:53.913571,2025-04-12 20:13:53.913571,Grinder C,576.64
172,2025-04-12 18:59:53.623772,2025-04-12 21:15:53.623772,Grinder B,478.85
173,2025-04-12 18:59:53.237825,2025-04-12 20:32:53.237825,Grinder B,477.09
174,2025-04-12 18:59:53.585295,2025-04-12 19:44:53.585295,Grinder C,462.33
175,2025-04-12 18:59:53.680517,2025-04-12 20:21:53.680517,Grinder A,736.06
176,2025-04-12 18:59:53.242065,2025-04-12 21:34:53.242065,Grinder A,741.73
177,2025-04-12 18:59:53.836587,2025-04-12 20:00:53.836587,Grinder C,450.45
178,2025-04-12 18:59:53.414596,2025-04-12 20:34:53.414596,Grinder C,639.73
179,2025-04-12 18:59:53.590414,2025-04-12 21:47:53.590414,Grinder A,486.18
180,2025-04-12 18:59:53.930951,2025-04-12 20:40:53.930951,Grinder B,600.46
181,2025-04-12 18:59:53.165399,2025-04-12 19:52:53.165399,Grinder C,491.71
182,2025-04-12 18:59:53.424886,2025-04-12 19:39:53.424886,Grinder C,731.97
183,2025-04-12 18:59:53.591241,2025-04-12 20:59:53.591241,Grinder C,606.07
184,2025-04-12 18:59:53.811048,2025-04-12 21:24:53.811048,Grinder C,468.25
185,2025-04-12 18:59:53.282621,2025-04-12 21:58:53.282621,Grinder C,430.69
186,2025-04-12 18:59:53.519835,2025-04-12 20:27:53.519835,Grinder B,415.07
187,2025-04-12 18:59:53.666673,2025-04-12 20:09:53.666673,Grinder B,362.46
188,2025-04-12 18:59:53.423992,2025-04-12 20:54:53.423992,Grinder A,423.09
189,2025-04-12 18:59:53.789920,2025-04-12 20:35:53.789920,Grinder B,714.6
190,2025-04-12 18:59:53.203088,2025-04-12 19:40:53.203088,Grinder A,391.66
191,2025-04-12 18:59:53.622243,2025-04-12 19:39:53.622243,Grinder C,696.29
192,2025-04-12 18:59:53.007634,2025-04-12 20:58:53.007634,Grinder B,690.99
193,2025-04-12 18:59:53.965763,2025-04-12 20:20:53.965763,Grinder B,458.01
194,2025-04-12 18:59:53.281197,2025-04-12 19:44:53.281197,Grinder C,708.96
195,2025-04-12 18:59:53.057425,2025-04-12 19:41:53.057425,Grinder C,566.43
196,2025-04-12 18:59:53.912374,2025-04-12 20:59:53.912374,Grinder A,518.67
197,2025-04-12 18:59:53.042624,2025-04-12 20:33:53.042624,Grinder C,612.35
198,2025-04-12 18:59:53.280280,2025-04-12 20:37:53.280280,Grinder C,744.6
199,2025-04-12 18:59:53.839292,2025-04-12 20:48:53.839292,Grinder B,405.32
200,2025-04-12 18:59:53.865318,2025-04-12 21:38:53.865318,Grinder C,545.88
201,2025-04-12 18:59:53.382326,2025-04-12 21:28:53.382326,Grinder B,408.96
202,2025-04-12 18:59:53.740111,2025-04-12 21:42:53.740111,Grinder C,485.93
203,2025-04-12 18:59:53.597535,2025-04-12 20:46:53.597535,Grinder A,443.87
204,2025-04-12 18:59:53.223529,2025-04-12 20:57:53.223529,Grinder C,321.65
205,2025-04-12 18:59:53.643254,2025-04-12 20:59:53.643254,Grinder C,481.16
206,2025-04-12 18:59:53.188738,2025-04-12 21:18:53.188738,Grinder C,747.27
207,2025-04-12 18:59:53.104938,2025-04-12 21:57:53.104938,Grinder C,445.85
208,2025-04-12 18:59:53.574889,2025-04-12 20:26:53.574889,Grinder B,763.72
209,2025-04-12 18:59:53.757541,2025-04-12 20:58:53.757541,Grinder A,376.33
210,2025-04-12 18:59:53.919009,2025-04-12 20:31:53.919009,Grinder A,583.04
211,2025-04-12 18:59:53.410026,2025-04-12 21:00:53.410026,Grinder B,681.06
212,2025-04-12 18:59:53.004568,2025-04-12 21:25:53.004568,Grinder A,570.23
213,2025-04-12 18:59:53.299826,2025-04-12 20:16:53.299826,Grinder B,461.93
214,2025-04-12 18:59:53.014684,2025-04-12 20:20:53.014684,Grinder A,449.19
215,2025-04-12 18:59:53.905323,2025-04-12 21:11:53.905323,Grinder B,784.11
216,2025-04-12 18:59:53.923142,2025-04-12 21:18:53.923142,Grinder C,539.37
