LeveringID,ProductID,Aantal
1324,4542,821
3115,2106,917
447,756,268
3406,2914,435
2482,656,656
2585,3210,625
2491,4250,495
3214,3643,890
2206,3236,723
2001,1966,527
3960,3580,990
4039,4830,975
803,1024,82
1525,2535,54
4963,2875,617
2656,4840,904
1801,2168,441
444,3776,522
1788,4133,745
4955,1411,383
3780,2261,950
4013,4606,355
4970,613,879
4764,931,488
4232,1675,781
1100,906,369
3760,2853,474
1979,4532,838
3255,4042,140
896,3271,752
2259,133,711
4881,3335,522
892,4984,412
1621,4752,146
3761,4736,952
4722,1940,373
3919,721,911
2042,2480,948
4649,3971,751
4219,827,465
1215,4962,772
1281,2856,844
1258,2395,11
1846,3788,63
2477,2647,319
1608,2634,722
1922,4809,712
545,344,788
1881,610,53
1114,4580,184
4029,4337,820
334,245,658
3859,4918,413
714,1840,755
182,1498,151
759,2281,76
2739,134,242
750,2803,715
1755,3099,278
1801,2406,363
1324,1902,976
3112,213,565
952,1503,618
2209,2159,184
2889,3596,567
2885,3409,742
2847,3367,164
1300,4125,551
348,4854,866
4682,4361,898
4254,2207,304
276,966,426
243,4224,363
2970,992,779
2332,3856,820
1423,157,335
3988,783,872
3208,1352,457
1339,740,678
3008,2960,312
2479,4940,114
4854,2799,267
2994,4635,743
1963,3638,383
4794,282,247
303,2845,407
2930,2380,800
4330,3969,748
2803,328,903
883,4892,122
1060,4678,793
4179,4517,206
3826,257,265
4206,625,15
404,3663,939
1406,3339,179
1224,1364,987
4052,4944,269
3505,851,596
3487,599,74
2982,402,836
1374,4289,561
1218,1228,201
3552,2604,691
3864,2384,558
4174,744,84
927,2574,961
4867,4556,684
2356,3575,779
4566,3561,30
1942,1507,576
1525,2206,232
1912,1424,452
2597,175,829
3866,532,425
1110,1986,662
1213,4642,733
280,3149,258
2374,2077,155
2526,2909,905
2075,4240,970
3873,1352,53
85,3132,93
1192,834,139
3476,3724,592
4157,3037,841
2858,3018,134
4244,3660,686
3387,2160,1000
4036,3378,642
526,3939,439
853,1999,940
4794,3320,724
1508,4589,65
1133,2585,91
699,1657,389
1049,1968,118
2929,2554,744
4730,1439,495
395,49,262
867,2877,68
25,1367,624
2455,4455,326
3178,1844,459
4063,3618,793
4894,3529,345
2391,3621,818
1695,3393,149
3174,2350,659
3764,2541,474
2411,2465,892
942,2764,550
1170,3959,955
4363,1998,594
120,2590,325
204,1346,60
347,4035,448
3597,2730,986
975,3870,851
3855,417,575
4596,2417,834
4241,4018,908
2963,4770,616
4853,4813,235
4644,1446,410
2029,3024,513
3478,1681,991
3556,4481,206
1664,732,627
4622,3009,396
2370,4629,868
1516,4955,495
726,974,737
3295,83,260
183,4678,470
600,3384,191
4169,1758,956
568,2355,738
4338,4749,268
13,1479,730
620,3664,623
3325,3791,592
3855,1975,790
2505,3192,373
1812,4095,206
9,3282,742
151,518,469
3211,3714,222
161,1954,256
546,2395,787
4109,4014,319
4196,3127,302
4485,3596,632
1024,2565,947
4852,239,90
3691,1267,47
4248,1458,820
2266,1033,366
1224,4062,250
3140,1953,909
813,2355,261
4519,2686,474
1585,809,820
2404,4282,528
4866,4224,176
1900,3985,32
4951,3989,25
3051,102,473
783,2387,453
1139,2329,807
1177,217,593
3004,1428,479
222,2861,978
776,2767,44
2110,4932,849
4216,3722,900
1966,3290,414
227,3593,570
229,2608,83
3966,3428,428
4038,1885,171
1079,3168,776
55,2094,637
2075,4670,746
428,2651,229
3051,2045,647
625,694,795
3360,4148,435
4248,2318,826
3403,3853,357
2856,2408,312
3685,2473,706
3288,2064,924
1545,3400,281
3639,3425,937
2588,3633,580
2867,1488,284
949,4020,962
2063,860,651
1705,3316,358
3724,3182,33
1123,3871,586
352,3964,518
4277,2446,744
1985,1462,111
3506,4888,989
1281,191,746
391,108,479
2169,44,732
3148,187,240
1961,1209,508
2865,476,458
2044,1798,607
946,2131,638
2036,1365,225
1171,1296,779
1437,651,652
2830,4627,633
3422,363,530
2698,2698,487
4180,1898,60
3049,4923,179
4531,1600,960
666,289,407
3352,3136,208
454,3617,420
329,2092,701
1963,4155,351
2368,4376,48
498,3952,390
2229,1355,885
521,1845,432
951,4620,396
402,801,396
967,1957,335
352,3630,218
2140,4244,562
4138,1205,284
4268,2179,59
3597,4054,852
1710,2877,12
2100,3737,327
779,257,68
4385,681,51
3795,3876,339
3708,1196,184
552,1132,952
4397,687,428
1881,203,939
3606,933,279
3422,1303,544
4136,1503,612
3881,3771,489
1686,4472,253
44,3008,883
3049,339,592
1241,4817,797
1241,3895,250
4934,4867,188
1265,3196,64
932,2964,22
3166,510,446
4706,4635,486
4972,4412,274
4566,217,978
678,477,294
4849,1462,393
2942,1600,979
4256,3467,130
989,2960,604
1358,2251,866
140,4344,563
2050,473,196
1264,3777,864
3669,1127,802
1115,175,175
1825,431,88
3757,4385,800
319,2196,420
3934,424,358
2425,2017,464
791,4744,72
2106,3246,20
810,2436,872
339,3615,788
4762,2168,538
2519,46,95
1089,853,716
186,2265,112
3134,42,978
4535,4579,446
30,4566,332
4868,1693,276
4538,3512,335
3758,2422,144
3489,3197,901
638,21,331
1172,2801,19
3674,3953,942
1869,4353,35
2059,966,995
806,83,296
4026,1601,20
1615,2084,427
3538,262,663
4259,2888,440
1807,1847,650
4452,3961,857
2839,4022,82
3037,3711,109
1788,4788,73
2679,4745,905
1414,4675,30
3126,3471,34
2389,929,617
4683,3271,444
1423,513,799
1293,4625,500
1403,3129,68
4038,1677,293
1779,2713,718
1212,3149,657
2068,2830,266
4569,3118,989
2190,1520,118
1859,3319,899
4887,408,347
2765,2435,34
2618,2921,189
3561,1292,50
4934,1381,189
392,2048,444
2957,3475,422
4620,233,282
4780,256,758
3159,107,934
595,1003,813
4319,2651,745
2201,256,954
1780,4032,74
547,4449,860
718,444,770
2201,785,118
785,852,89
4289,3324,450
3139,2631,556
329,1278,390
4602,3791,404
1318,333,105
4045,3094,322
1938,4860,625
1716,4104,950
1305,4954,499
2271,2208,579
2339,3812,855
3636,3740,54
983,2008,14
4745,725,551
3499,3281,893
3969,4205,68
2948,3383,471
4378,916,873
2186,2130,583
188,2487,513
3718,3952,170
3918,4716,711
3594,2634,497
414,2573,57
1692,1317,94
2668,1001,469
211,451,81
3052,1145,23
3724,2886,680
4857,2827,769
3280,4365,252
1416,3917,857
1287,3653,716
4925,2062,688
2574,4075,293
4819,2039,713
747,2937,296
3019,462,741
4056,1505,458
4829,3243,534
2184,631,196
1766,1134,753
409,4921,910
4087,3578,339
96,4278,786
2709,1581,523
4160,3000,129
4161,4506,749
2326,3790,16
2843,4730,548
842,3795,708
3156,3535,688
4538,436,302
432,1227,381
3336,3453,461
4838,2342,40
4022,3550,815
1745,3804,465
2758,580,522
4187,942,558
2489,4202,46
4836,380,927
624,3290,796
1765,2516,944
2303,4181,271
1406,4905,196
2138,1284,199
995,4162,697
2219,3587,245
820,3779,424
2968,1828,726
574,2761,515
4148,4420,41
2867,4673,531
736,1624,36
2464,557,714
472,4448,98
1591,864,651
456,4756,753
2937,2656,406
2963,2127,287
1004,3906,312
3847,99,710
3963,25,916
490,1055,876
595,2576,288
1420,3699,918
3449,3063,522
234,2251,774
1241,2210,892
1262,848,264
3067,1760,471
2093,315,154
1247,3072,877
4737,3565,613
4149,4205,625
2267,1133,247
3038,4761,847
4763,543,983
3115,4920,370
923,3129,413
200,4710,304
1845,3038,875
1019,106,370
2271,791,754
3565,50,230
233,4222,671
737,1196,736
2419,101,102
2013,2489,507
3757,3228,706
3520,141,555
4241,4922,359
3723,4402,777
