PackagingID,P_DatumTijdStart,P_DatumTijdEind,P_Machine,AantalStuksInDoos,Capaciteit
1,2025-04-12 18:59:53.566622,2025-04-12 21:10:53.566622,Packer A,10,481.22
2,2025-04-12 18:59:53.445245,2025-04-12 20:23:53.445245,Packer C,10,502.19
3,2025-04-12 18:59:53.448822,2025-04-12 21:52:53.448822,Packer C,10,623.52
4,2025-04-12 18:59:53.355947,2025-04-12 19:54:53.355947,Packer A,12,775.93
5,2025-04-12 18:59:53.626975,2025-04-12 21:37:53.626975,Packer B,10,433.39
6,2025-04-12 18:59:53.285986,2025-04-12 20:21:53.285986,Packer B,20,480.88
7,2025-04-12 18:59:53.136998,2025-04-12 19:42:53.136998,Packer B,10,489.6
8,2025-04-12 18:59:53.153536,2025-04-12 19:43:53.153536,Packer C,10,330.94
9,2025-04-12 18:59:53.384034,2025-04-12 20:57:53.384034,Packer B,12,701.29
10,2025-04-12 18:59:53.402291,2025-04-12 20:33:53.402291,Packer B,20,496.91
11,2025-04-12 18:59:53.821918,2025-04-12 20:27:53.821918,Packer B,20,747.63
12,2025-04-12 18:59:53.893463,2025-04-12 19:31:53.893463,Packer A,20,747.76
13,2025-04-12 18:59:53.751153,2025-04-12 21:29:53.751153,Packer C,20,440.4
14,2025-04-12 18:59:53.471833,2025-04-12 21:22:53.471833,Packer C,12,458.78
15,2025-04-12 18:59:53.612072,2025-04-12 21:54:53.612072,Packer A,12,495.02
16,2025-04-12 18:59:53.835519,2025-04-12 20:40:53.835519,Packer A,10,588.75
17,2025-04-12 18:59:53.079982,2025-04-12 20:01:53.079982,Packer C,12,765.3
18,2025-04-12 18:59:53.661930,2025-04-12 20:49:53.661930,Packer C,10,336.24
19,2025-04-12 18:59:53.599479,2025-04-12 19:50:53.599479,Packer A,12,482.17
20,2025-04-12 18:59:53.726467,2025-04-12 21:52:53.726467,Packer A,20,461.8
21,2025-04-12 18:59:53.431280,2025-04-12 21:28:53.431280,Packer A,12,350.99
22,2025-04-12 18:59:53.269381,2025-04-12 19:32:53.269381,Packer C,20,543.42
23,2025-04-12 18:59:53.482569,2025-04-12 20:01:53.482569,Packer C,12,426.11
24,2025-04-12 18:59:53.237475,2025-04-12 20:17:53.237475,Packer C,20,351.38
