PartnerID,Bedrijfsnaam,Straatnaam,Huisnummer,Postcode,Plaats,Land,Email,TelNr,SoortPartnerID
1,DAS,Melissasteeg,8,5302 CW,Zaamslag,Nederland,cantsuze@hotmail.com,+31(0)66-2001085,3
2,Koninklijke Hermans,Jonathandreef,94,9878 SX,Kuinre,Nederland,znihoe@hotmail.com,+31(0)398-936871,4
3,Jurrijens NV,Philipboulevard,9,1229 QB,Geleen,Nederland,yvan-hulten@agrifirm.biz,(0524) 355352,5
4,Vleesgroothandel Zandbergen,Vigoweg,589,7889EL,Paesens,Nederland,smeetslois@hotmail.com,(0961)-262159,4
5,Google,Jariweg,229,4584UM,Hallum,Nederland,jortwinnrich@vopak.com,065-5781951,5
6,DSM,Aidenstraat,1,3957 WF,Ottoland,Nederland,dinapalman@yahoo.com,+31(0)07-9751490,3
7,NSI N.V.,Dirkring,35,2520 PH,Hooghalen,Nederland,liameverts@zwijsen.com,+3138-6018990,4
8,Stichting van Amstel,Elizehof,636,6006 DF,Ledeacker,Nederland,job36@koninklijke.com,038-1443997,4
9,KPMG,Annabelsteeg,6,6971MR,Made,Nederland,kaslouise@mulders.com,053-3155986,3
10,Gerrits & de Leeuw,Nielsbaan,626,6735 GA,Marknesse,Nederland,simon12@van.net,(017)-4618170,1
11,van Haeften & de Man,Selinapad,215,2945 VI,Bergen op Zoom,Nederland,pdachgeldt@zwijsen.com,0856-661168,5
12,Makro Nederland,Rafbaan,3,3178HN,Sittard,Nederland,yinthe89@dell.biz,+31(0)438-690930,1
13,Royal van de Veen,Evystraat,5,7216VS,Neerijnen,Nederland,ovan-voorhout@yahoo.com,+31(0)71 6239239,3
14,Stichting Adryaens,Jobweg,568,7554 CS,Huissen,Nederland,van-engelandjames@de.biz,+31655-832487,2
15,van den Nieuwenhuijsen & van Herstal,Mariastraat,412,8958 FV,Twello,Nederland,jente38@hotmail.com,+31(0)033 153405,3
16,le Guellec BV,Jordystraat,10,1290XN,Elshout,Nederland,mauritsspier@gmail.com,0120-991309,3
17,Peronne & van den Brink,Mikeboulevard,653,8444WV,Haulerwijk,Nederland,rick43@royal.com,+3166-6233516,4
18,Verda BV,Yasminesteeg,78,4703 XE,Schermerhorn,Nederland,thijnvan-breugel@barentz.info,(0433) 823385,1
19,Freshour & Sterkman,Norahboulevard,6,1000HZ,Holtheme,Nederland,qbroeders@gmail.com,0908-000583,4
20,Koninklijke van Haspengouw,Tessahof,591,9787NF,Toldijk,Nederland,sophiasas@yahoo.com,(0654) 525742,2
21,Koninklijke van Ooyen,Loekdreef,6,9304 LG,Kekerdom,Nederland,van-der-flaasjesse@hotmail.com,+3171 4843233,2
22,Pieters & Vertoor,Nadinepad,365,3080LC,IJzendoorn,Nederland,ugnodde@yahoo.com,+31265 466784,3
23,Lekkerland,Josephinebaan,026,9885 GD,Dieden,Nederland,merelvan-dooren@vastenhouw.com,(050)-3122174,5
24,Koninklijke van der Pouw,Catharinadreef,42,8210GZ,Manderveen,Nederland,demi40@van.com,(023) 7364139,4
25,Royal van Herstal,Martsteeg,68,2233 DM,Westdorp,Nederland,jet94@hotmail.com,+31613 777827,5
26,Gruijl NV,Ameliabaan,36,4032 MT,Oppenhuizen,Nederland,quintyoda@hotmail.com,+31263 959827,1
27,van Gemert & van den Wittenboer,Chrisbaan,56,3928KG,Burgwerd,Nederland,sam02@yahoo.com,+31(0)347 868473,5
28,Höning BV,Xaviweg,16,7708 DM,Noord-Sleen,Nederland,bleesyinthe@hotmail.com,+3196 0630117,2
29,van der Loo & van der Laarse,Timosteeg,0,3705EP,Renesse,Nederland,zsmit@yahoo.com,0872-855336,5
30,Koninklijke Rijks,Jasperweg,5,7930RW,Den Hout,Nederland,tristan75@stage.biz,+3159 7219345,2
31,Stichting Wooning,Tiessingel,2,1173 JO,Batenburg,Nederland,foversteeg@yahoo.com,+31(0)26 3919825,4
32,Meyn,Haileybaan,60,6509 TX,Pijnacker,Nederland,coreth-von-und-zu-coredo-und-starkenbergsophie@royal.com,+31(0)65-1617907,4
33,IBM,Charlottepad,983,1783HR,Bunschoten-Spakenburg,Nederland,maryam72@yahoo.com,+31(0)435-225640,1
34,Spar Holding,Quinnring,8,3271 OO,Oostwold,Nederland,lana20@yahoo.com,0053-408539,4
35,Geerling & Momberg,Jinthepad,339,5499UH,Scharmer,Nederland,ceylin21@yahoo.com,0655-162115,1
36,Dekker BV,Sembaan,99,3981 DT,Knegsel,Nederland,xelberts@yahoo.com,+31(0)120 613099,2
37,le Guellec NV,Morrissteeg,30,7481 ZC,Taarlo,Nederland,britt31@yahoo.com,0032 286400,1
38,Koninklijke Michielsen,Fayelaan,3,1137 VQ,Goudswaard,Nederland,gvan-der-heijden@everts.com,0087-747352,1
39,de Pauw & Timmermans,Pimboulevard,432,3361 CT,Garminge,Nederland,mombergamy@dell.com,0102-482794,1
40,de Reede & de Strigter,Sebastiaandreef,613,5691FR,Neede,Nederland,sarakok@hotmail.com,0943-462653,1
41,Bakker Groep,Masonstraat,1,8068UB,Vierhuizen,Nederland,arijntjes@gmail.com,0201-838388,5
42,van den Wittenboer & Neuzerling,Phileineweg,3,2074 FQ,Jabeek,Nederland,van-wijkfatima@van.com,(0145)-918345,4
43,RTL Nederland,Aaliyahlaan,2,9058 LG,Pingjum,Nederland,lievevan-den-wittenboer@yahoo.com,+31(0)81-2304449,3
44,PostNL,Fennesingel,38,9777 HU,Mechelen,Nederland,qvan-der-linden@ordina.info,093-8871156,2
45,Dell,Jasmijnring,06,3311 GM,Harbrinkhoek,Nederland,eliasde-smit@bayer.com,+31(0)17 8273056,4
46,Blees & Fremie,Seppdreef,8,1362 LY,Reahûs,Nederland,van-berkeldean@koninklijke.org,+31(0)585-300835,2
47,Stichting Blewanus,Joshualaan,0,2856 SN,Reutum,Nederland,zvan-opper-lotharingen@stichting.org,+31(0)130-404862,2
48,Verda Groep,Felixlaan,5,4875 DE,Thorn,Nederland,lois11@smith.com,032-2198381,3
49,Amalrada NV,Noralaan,45,8766 DC,Abbekerk,Nederland,hermansboris@van.com,+3142-1791941,3
50,Royal Bezemer,Isabellesteeg,70,5248 JB,Kolhorn,Nederland,juul38@gmail.com,023-9737782,3
51,Royal der Kijnder,Saralaan,392,6249 TZ,Mill,Nederland,noortje07@mangel.net,(0941)-184560,5
52,BNP Paribas,Quinnboulevard,0,5629UU,Akkrum,Nederland,tylervan-der-kint@groenestein.info,080-3803222,3
53,Koninklijke Ooms,Mohammedsingel,15,7969LM,Longerhouw,Nederland,maya20@gmail.com,0433-408862,3
54,Demmendaal BV,Merelsingel,2,9616 UP,Egmond aan den Hoef,Nederland,pepijn34@yahoo.com,+31(0)42 6178265,2
55,Woonzorg Nederland,Rickweg,838,7373 LW,Vught,Nederland,elize23@yahoo.com,+31(0)428-267387,5
56,Optiver,Jillweg,67,9925 RW,Heesch,Nederland,uvan-den-hoek@iff.com,(004) 4822790,2
57,Royal Rijntjes,Ryanbaan,08,4878OZ,Waterlandkerkje,Nederland,isabellespies@koninklijke.com,(026) 4449122,1
58,van de Velden & van der Laan,Jamesboulevard,49,6623 FS,Vrouwenakker,Nederland,lengels@stichting.biz,+31(0)91 3902954,5
