ProductID,ProductTHTDatum,CStatusProduct,FStatusProduct,PStatusProduct,SoortProductID
1,2025-04-12,NOK,NOK,OK,34
2,2025-04-12,NOK,OK,NOK,17
3,2025-04-12,NOK,NOK,NOK,25
4,2025-04-12,OK,OK,OK,42
5,2025-04-12,NOK,NOK,OK,43
6,2025-04-12,NOK,OK,OK,26
7,2025-04-12,NOK,OK,OK,30
8,2025-04-12,OK,NOK,NOK,3
9,2025-04-12,OK,NOK,NOK,36
10,2025-04-12,OK,NOK,NOK,11
11,2025-04-12,OK,NOK,NOK,20
12,2025-04-12,OK,OK,OK,36
13,2025-04-12,NOK,OK,OK,40
14,2025-04-12,NOK,OK,NOK,12
15,2025-04-12,NOK,NOK,OK,38
16,2025-04-12,OK,NOK,NOK,22
17,2025-04-12,NOK,OK,OK,22
18,2025-04-12,NOK,OK,NOK,19
19,2025-04-12,OK,NOK,OK,22
20,2025-04-12,NOK,NOK,OK,41
21,2025-04-12,OK,OK,OK,20
22,2025-04-12,NOK,NOK,NOK,42
23,2025-04-12,OK,NOK,NOK,4
24,2025-04-12,NOK,NOK,OK,21
25,2025-04-12,NOK,NOK,OK,31
26,2025-04-12,OK,NOK,OK,36
27,2025-04-12,OK,NOK,NOK,29
28,2025-04-12,OK,NOK,NOK,36
29,2025-04-12,NOK,OK,OK,32
30,2025-04-12,OK,OK,OK,34
31,2025-04-12,OK,OK,OK,6
32,2025-04-12,OK,OK,OK,16
33,2025-04-12,OK,NOK,OK,32
34,2025-04-12,NOK,NOK,NOK,7
35,2025-04-12,OK,NOK,OK,23
36,2025-04-12,NOK,NOK,OK,28
37,2025-04-12,NOK,NOK,NOK,29
38,2025-04-12,OK,NOK,OK,41
39,2025-04-12,OK,NOK,NOK,48
40,2025-04-12,NOK,OK,NOK,31
41,2025-04-12,NOK,NOK,NOK,37
42,2025-04-12,OK,NOK,NOK,12
43,2025-04-12,NOK,NOK,NOK,43
44,2025-04-12,OK,OK,NOK,48
45,2025-04-12,OK,OK,OK,2
46,2025-04-12,OK,OK,OK,30
47,2025-04-12,OK,OK,NOK,24
48,2025-04-12,OK,OK,OK,16
49,2025-04-12,OK,OK,OK,48
50,2025-04-12,NOK,NOK,OK,2
51,2025-04-12,NOK,NOK,OK,36
52,2025-04-12,OK,OK,OK,41
53,2025-04-12,NOK,OK,OK,4
54,2025-04-12,NOK,NOK,OK,35
55,2025-04-12,OK,OK,OK,18
56,2025-04-12,NOK,OK,NOK,18
